pose_id,yaw_truth,pitch_truth,roll_truth,B1x,B1y,B1z,B2x,B2y,B2z,temp_C
0,119.320,6.721,6.170,1.2250,1.0780,-0.4349,0.6860,-3.4974,1.2434,
1,120.650,6.288,0.610,1.3904,1.9171,-0.8330,0.4410,-4.4896,1.5803,
2,120.055,6.685,-5.744,1.1148,2.5174,-1.0841,-0.3124,-5.3961,1.9294,
3,120.002,1.136,7.218,1.7763,1.6599,-0.5635,0.5084,-3.0992,1.1944,
4,120.587,0.409,-0.059,1.8988,2.4561,-0.9310,0.0429,-3.4361,1.3414,
5,119.434,-1.161,-5.900,2.0703,3.4239,-1.4087,-0.6248,-3.6138,1.3720,
6,119.642,-6.454,6.691,2.7317,2.0274,-0.5574,0.1225,-2.2724,0.9310,
7,120.279,-6.247,-0.197,3.0502,2.9829,-1.0167,-0.2021,-2.5603,1.0290,
8,120.736,-6.570,-5.933,3.0502,4.4835,-1.6844,-0.6247,-2.7501,1.0719,
9,100.503,5.997,5.775,1.5864,0.7472,-0.3185,0.0735,-3.7424,1.4700,
10,101.400,6.225,0.217,1.6905,0.9678,-0.4104,-0.3553,-4.3916,1.6170,
11,101.094,6.444,-5.453,1.6476,1.4455,-0.7350,-1.2128,-5.0593,1.7946,
12,99.959,-0.060,6.169,2.0519,0.5145,-0.0980,-0.2940,-3.0625,1.2679,
13,100.310,-0.156,0.204,2.3030,0.9677,-0.3430,-0.6554,-3.1850,1.2862,
14,99.934,-0.780,-6.533,2.6460,1.8498,-0.7718,-1.3353,-3.3749,1.2556,
15,99.960,-6.007,6.723,2.6521,0.2572,0.0980,-0.3307,-2.1989,0.9310,
16,100.280,-6.378,0.113,3.2708,0.7963,-0.1960,-0.6247,-2.3275,0.9678,
17,99.967,-6.636,-6.335,3.8526,1.9600,-0.7718,-1.1331,-2.4010,0.9800,
18,80.291,6.022,6.644,1.6599,-0.3124,0.2021,-0.6002,-3.2646,1.2985,
19,79.908,6.136,-0.618,1.8191,-0.2818,0.1899,-1.4271,-3.8036,1.4945,
