pose_id,session_id,recorded_at_utc,yaw_deg,pitch_deg,roll_deg,yaw_raw_deg,yaw0_deg,yaw_stddev_deg,pitch_stddev_deg,roll_stddev_deg,imu_samples,magnetic_samples,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_stddev_mT,S1_By_stddev_mT,S1_Bz_stddev_mT,S2_Bx_stddev_mT,S2_By_stddev_mT,S2_Bz_stddev_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT
0,cal-20260717T104800Z,2026-07-17T10:49:00.814963+00:00,59.995109,9.962713,9.727038,60.320726,0.325617,0.066793,0.004018,0.005081,217,32,0.967750,-1.096375,0.465500,-1.035125,-3.160500,1.411812,0.128743,0.132741,0.138593,0.119216,0.086229,0.105195,1.023896,-1.173703,0.508120,-1.113729,-3.229917,1.437333
1,cal-20260717T104800Z,2026-07-17T10:49:18.769387+00:00,50.356805,9.853860,9.752513,50.682422,0.325617,0.005663,0.003044,0.004673,211,32,0.839125,-1.384250,0.643125,-1.491437,-2.544938,1.283187,0.126772,0.172007,0.116588,0.092250,0.084356,0.087510,0.895271,-1.461578,0.685745,-1.570042,-2.614354,1.308708
2,cal-20260717T104800Z,2026-07-17T10:49:38.546513+00:00,40.815609,9.667772,9.799391,41.141226,0.325617,0.009073,0.003528,0.002718,211,32,0.701313,-1.580250,0.701313,-1.868125,-1.831375,1.071875,0.102962,0.128743,0.122223,0.116588,0.100920,0.089533,0.757458,-1.657578,0.743932,-1.946729,-1.900792,1.097396
3,cal-20260717T104800Z,2026-07-17T10:49:45.982646+00:00,30.174873,9.454594,9.888255,30.500490,0.325617,0.003564,0.009977,0.003942,211,32,0.462438,-1.858937,0.836063,-2.238688,-0.958562,0.793188,0.125042,0.139671,0.142960,0.086621,0.104826,0.094325,0.518583,-1.936266,0.878682,-2.317292,-1.027979,0.818708
4,cal-20260717T104800Z,2026-07-17T10:49:53.737756+00:00,20.512007,9.383954,10.044756,20.837624,0.325617,0.001603,0.002618,0.001753,211,32,0.287875,-2.045750,0.866688,-2.474500,-0.107188,0.505312,0.126772,0.104872,0.114366,0.114070,0.087510,0.066371,0.344021,-2.123078,0.909307,-2.553104,-0.176604,0.530833
5,cal-20260717T104800Z,2026-07-17T10:50:00.671705+00:00,10.617391,9.380624,10.185850,10.943008,0.325617,0.009816,0.014186,0.007313,218,32,0.030625,-2.119250,0.863625,-2.554125,0.713562,0.226625,0.146075,0.104872,0.106884,0.096205,0.093914,0.100920,0.086771,-2.196578,0.906245,-2.632729,0.644146,0.252146
6,cal-20260717T104800Z,2026-07-17T10:50:11.741436+00:00,0.027164,9.359810,10.279346,0.352781,0.325617,0.004007,0.005369,0.006118,210,32,-0.171500,-2.116188,0.909563,-2.603125,1.586375,-0.143937,0.126925,0.140501,0.087067,0.102444,0.127988,0.070336,-0.115354,-2.193516,0.952182,-2.681729,1.516958,-0.118417
7,cal-20260717T104800Z,2026-07-17T10:50:34.487225+00:00,-10.701560,9.268674,10.454953,-10.375943,0.325617,0.008321,0.007592,0.007925,210,32,-0.404250,-2.091687,0.891188,-2.459188,2.385687,-0.447125,0.098787,0.110228,0.120307,0.097554,0.115713,0.082323,-0.348104,-2.169016,0.933807,-2.537792,2.316271,-0.421604
8,cal-20260717T104800Z,2026-07-17T10:50:44.398059+00:00,-20.327965,9.263685,10.616755,-20.002348,0.325617,0.005779,0.003336,0.004778,218,32,-0.643125,-2.030438,0.869750,-2.278500,2.998187,-0.673750,0.102444,0.127496,0.104872,0.121946,0.110928,0.107786,-0.586979,-2.107766,0.912370,-2.357104,2.928771,-0.648229
9,cal-20260717T104800Z,2026-07-17T10:50:52.358524+00:00,-30.022248,9.329614,10.753455,-29.696631,0.325617,0.007766,0.020613,0.014790,217,32,-0.848313,-1.892625,0.777875,-2.094750,3.451437,-0.903438,0.123484,0.143939,0.116588,0.101875,0.101827,0.104826,-0.792167,-1.969953,0.820495,-2.173354,3.382021,-0.877917
10,cal-20260717T104800Z,2026-07-17T10:51:00.189831+00:00,-40.238228,9.349484,10.902285,-39.912611,0.325617,0.008302,0.011234,0.015855,211,32,-1.007562,-1.681312,0.692125,-1.773187,3.803625,-1.087187,0.114704,0.111624,0.096205,0.097554,0.091247,0.080117,-0.951417,-1.758641,0.734745,-1.851792,3.734208,-1.061667
11,cal-20260717T104800Z,2026-07-17T10:51:16.056626+00:00,-50.780343,8.926594,9.324903,-50.454726,0.325617,0.004046,0.002788,0.005953,218,32,-1.228063,-1.509813,0.597187,-1.319937,4.232375,-1.335250,0.140776,0.119012,0.120307,0.082499,0.106884,0.095600,-1.171917,-1.587141,0.639807,-1.398542,4.162958,-1.309729
12,cal-20260717T104800Z,2026-07-17T10:51:25.028714+00:00,-59.942999,9.028317,9.520948,-59.617382,0.325617,0.003596,0.000969,0.003048,217,32,-1.353625,-1.206625,0.483875,-0.998375,4.382437,-1.439375,0.137330,0.117909,0.108323,0.087786,0.079633,0.080419,-1.297479,-1.283953,0.526495,-1.076979,4.313021,-1.413854
13,cal-20260717T104800Z,2026-07-17T10:52:07.226421+00:00,60.233790,9.824138,5.152891,60.559407,0.325617,0.004350,0.004990,0.004278,218,32,1.176000,-1.016750,0.450188,-1.601687,-3.500437,1.506750,0.126925,0.128743,0.126581,0.095143,0.122540,0.110623,1.232146,-1.094078,0.492807,-1.680292,-3.569854,1.532271
14,cal-20260717T104800Z,2026-07-17T10:52:12.314593+00:00,50.115008,9.615962,5.229551,50.440625,0.325617,0.006112,0.015074,0.007694,217,32,1.084125,-1.399563,0.584937,-2.073313,-2.734812,1.301562,0.124304,0.132266,0.146174,0.102962,0.087510,0.083432,1.140271,-1.476891,0.627557,-2.151917,-2.804229,1.327083
15,cal-20260717T104800Z,2026-07-17T10:52:17.880929+00:00,40.300922,9.490364,5.312919,40.626539,0.325617,0.004229,0.005407,0.005548,210,32,0.931000,-1.672125,0.670687,-2.477562,-1.822188,1.004500,0.111321,0.142858,0.136588,0.100295,0.082028,0.078715,0.987146,-1.749453,0.713307,-2.556167,-1.891604,1.030021
16,cal-20260717T104800Z,2026-07-17T10:52:27.443308+00:00,30.144838,9.458814,5.502804,30.470455,0.325617,0.002464,0.007456,0.004268,217,32,0.719688,-1.917125,0.805438,-2.774625,-0.808500,0.704375,0.110228,0.131569,0.118687,0.103945,0.086229,0.087786,0.775833,-1.994453,0.848057,-2.853229,-0.877917,0.729896
17,cal-20260717T104800Z,2026-07-17T10:52:36.449179+00:00,20.804646,9.389135,5.630189,21.130263,0.325617,0.013770,0.008268,0.002471,218,32,0.551250,-2.097812,0.924875,-2.967563,0.183750,0.388937,0.113389,0.151124,0.105424,0.093914,0.081614,0.097951,0.607396,-2.175141,0.967495,-3.046167,0.114333,0.414458
18,cal-20260717T104800Z,2026-07-17T10:52:44.476773+00:00,10.670435,9.276308,5.802885,10.996052,0.325617,0.005881,0.004186,0.013378,210,32,0.333813,-2.309125,0.964688,-2.989000,1.163750,0.030625,0.133722,0.147132,0.129604,0.102632,0.110623,0.072305,0.389958,-2.386453,1.007307,-3.067604,1.094333,0.056146
19,cal-20260717T104800Z,2026-07-17T10:52:50.925941+00:00,0.071047,9.258421,6.019779,0.396664,0.325617,0.001620,0.002194,0.003372,211,32,0.042875,-2.364250,1.047375,-2.860375,2.220312,-0.367500,0.119216,0.133469,0.094582,0.100920,0.081078,0.089749,0.099021,-2.441578,1.089995,-2.938979,2.150896,-0.341979
20,cal-20260717T104800Z,2026-07-17T10:53:05.174899+00:00,-10.282317,10.369132,4.903788,-9.956700,0.325617,0.001680,0.002054,0.003852,210,32,-0.076563,-2.296875,1.013688,-2.906312,3.384063,-0.768688,0.107741,0.136197,0.128404,0.088391,0.099519,0.082967,-0.020417,-2.374203,1.056307,-2.984917,3.314646,-0.743167
21,cal-20260717T104800Z,2026-07-17T10:53:12.094126+00:00,-20.306217,10.398533,5.006214,-19.980600,0.325617,0.009566,0.001890,0.002620,211,32,-0.315437,-2.269312,0.964688,-2.566375,4.103750,-1.081063,0.152908,0.124732,0.102962,0.117909,0.092302,0.063386,-0.259292,-2.346641,1.007307,-2.644979,4.034333,-1.055542
22,cal-20260717T104800Z,2026-07-17T10:53:21.442835+00:00,-30.886761,10.432943,5.178080,-30.561144,0.325617,0.019894,0.016749,0.017792,211,32,-0.594125,-2.128437,0.946313,-2.131500,4.710125,-1.335250,0.116588,0.151891,0.120949,0.111321,0.082323,0.085326,-0.537979,-2.205766,0.988932,-2.210104,4.640708,-1.309729
23,cal-20260717T104800Z,2026-07-17T10:53:29.316124+00:00,-40.413533,10.483110,5.269907,-40.087916,0.325617,0.004287,0.004843,0.003780,210,32,-0.814625,-1.963062,0.833000,-1.733375,5.050063,-1.549625,0.084183,0.112660,0.147263,0.106884,0.089696,0.084183,-0.758479,-2.040391,0.875620,-1.811979,4.980646,-1.524104
24,cal-20260717T104800Z,2026-07-17T10:53:38.747581+00:00,-50.699811,10.575012,5.368018,-50.374194,0.325617,0.002929,0.010466,0.019436,217,32,-1.016750,-1.638437,0.704375,-1.286250,5.304250,-1.662937,0.113389,0.103338,0.115252,0.101875,0.098787,0.097951,-0.960604,-1.715766,0.746995,-1.364854,5.234833,-1.637417
25,cal-20260717T104800Z,2026-07-17T10:53:48.227621+00:00,-60.400412,10.664798,5.365085,-60.074795,0.325617,0.010876,0.002470,0.017475,217,32,-1.188250,-1.326063,0.572688,-0.891188,5.408375,-1.779313,0.140259,0.116712,0.099908,0.103712,0.091247,0.099908,-1.132104,-1.403391,0.615307,-0.969792,5.338958,-1.753792
26,cal-20260717T104800Z,2026-07-17T10:54:22.160224+00:00,60.030701,10.208614,0.107746,60.356318,0.325617,0.026423,0.031567,0.007073,217,32,1.445500,-0.918750,0.321562,-2.606187,-3.822000,1.540438,0.155451,0.133469,0.111971,0.089263,0.111321,0.090555,1.501646,-0.996078,0.364182,-2.684792,-3.891417,1.565958
27,cal-20260717T104800Z,2026-07-17T10:54:28.440792+00:00,50.402333,10.096435,0.134346,50.727950,0.325617,0.004226,0.005485,0.021433,214,32,1.393438,-1.347500,0.505312,-3.001250,-2.799125,1.243375,0.116047,0.126925,0.141051,0.092302,0.102444,0.091247,1.449583,-1.424828,0.547932,-3.079854,-2.868542,1.268896
28,cal-20260717T104800Z,2026-07-17T10:54:33.945760+00:00,40.673822,9.929687,0.196237,40.999439,0.325617,0.029486,0.002891,0.001860,217,32,1.246438,-1.718063,0.637000,-3.350375,-1.635375,0.866688,0.100295,0.134012,0.111321,0.094582,0.097802,0.096757,1.302583,-1.795391,0.679620,-3.428979,-1.704792,0.892208
29,cal-20260717T104800Z,2026-07-17T10:54:39.775437+00:00,29.946347,9.795604,0.237138,30.271964,0.325617,0.001400,0.004561,0.008319,217,32,1.038188,-2.045750,0.826875,-3.546375,-0.312375,0.434875,0.126581,0.133469,0.096205,0.115252,0.103945,0.099373,1.094333,-2.123078,0.869495,-3.624979,-0.381792,0.460396
30,cal-20260717T104800Z,2026-07-17T10:54:45.731999+00:00,20.380776,9.690529,0.316646,20.706393,0.325617,0.001442,0.004020,0.001765,210,32,0.857500,-2.269312,0.958562,-3.549437,0.900375,0.021437,0.099568,0.111624,0.118687,0.128705,0.091247,0.095549,0.913646,-2.346641,1.001182,-3.628042,0.830958,0.046958
32,cal-20260717T104800Z,2026-07-17T10:55:07.837809+00:00,10.412042,9.589203,0.413160,10.737659,0.325617,0.001897,0.002294,0.002661,210,32,0.679875,-2.492875,1.047375,-3.420813,2.125375,-0.373625,0.111146,0.102444,0.141770,0.103712,0.072305,0.058044,0.736021,-2.570203,1.089995,-3.499417,2.055958,-0.348104
33,cal-20260717T104800Z,2026-07-17T10:55:19.128971+00:00,0.116645,9.562757,0.619230,0.442262,0.325617,0.001551,0.003354,0.002810,210,32,0.401187,-2.627625,1.108625,-3.117625,3.224813,-0.793188,0.143770,0.120508,0.127988,0.094582,0.106657,0.112316,0.457333,-2.704953,1.151245,-3.196229,3.155396,-0.767667
34,cal-20260717T104800Z,2026-07-17T10:55:26.345957+00:00,-10.411535,9.557809,0.763637,-10.085918,0.325617,0.001346,0.006251,0.011739,210,32,0.143937,-2.600062,1.123938,-2.731750,4.149687,-1.120875,0.134012,0.114027,0.102585,0.092302,0.091829,0.078469,0.200083,-2.677391,1.166557,-2.810354,4.080271,-1.095354
35,cal-20260717T104800Z,2026-07-17T10:55:47.800131+00:00,-20.124180,9.556814,0.907290,-19.798563,0.325617,0.004691,0.002689,0.004869,218,32,-0.064312,-2.624563,1.114750,-2.306062,4.896937,-1.411813,0.110228,0.101827,0.150900,0.093085,0.115378,0.092668,-0.008167,-2.701891,1.157370,-2.384667,4.827521,-1.386292
36,cal-20260717T104800Z,2026-07-17T10:55:59.797105+00:00,-30.174674,9.631072,1.082401,-29.849057,0.325617,0.007323,0.001898,0.002694,218,32,-0.404250,-2.529625,1.105563,-1.785438,5.383875,-1.610875,0.142451,0.125544,0.103338,0.110579,0.111146,0.102444,-0.348104,-2.606953,1.148182,-1.864042,5.314458,-1.585354
37,cal-20260717T104800Z,2026-07-17T10:56:12.851130+00:00,-40.513874,9.782097,0.377559,-40.188257,0.325617,0.011252,0.004567,0.006920,218,32,-0.667625,-2.370375,1.019813,-1.157625,5.978000,-1.883438,0.100920,0.120508,0.092668,0.097802,0.086229,0.085269,-0.611479,-2.447703,1.062432,-1.236229,5.908583,-1.857917
38,cal-20260717T104800Z,2026-07-17T10:56:20.193798+00:00,-50.363676,9.885662,0.481014,-50.038059,0.325617,0.022123,0.014995,0.001813,217,32,-0.882000,-2.094750,0.931000,-0.670687,6.134188,-1.956937,0.099568,0.118727,0.126925,0.096757,0.102207,0.091406,-0.825854,-2.172078,0.973620,-0.749292,6.064771,-1.931417
39,cal-20260717T104800Z,2026-07-17T10:56:27.894667+00:00,-60.452998,9.968253,0.458737,-60.127381,0.325617,0.034097,0.009903,0.024723,217,32,-1.185188,-1.748687,0.793188,-0.196000,6.121937,-2.024313,0.150096,0.105928,0.112316,0.082558,0.089696,0.104456,-1.129042,-1.826016,0.835807,-0.274604,6.052521,-1.998792
40,cal-20260717T104800Z,2026-07-17T10:56:58.963649+00:00,60.490735,9.988737,-5.063479,60.816352,0.325617,0.003693,0.007860,0.006622,211,32,1.760938,-0.796250,0.171500,-3.604563,-3.825063,1.338313,0.109876,0.140259,0.116754,0.123797,0.101064,0.115713,1.817083,-0.873578,0.214120,-3.683167,-3.894479,1.363833
41,cal-20260717T104800Z,2026-07-17T10:57:04.398418+00:00,49.710710,9.844209,-4.953770,50.036327,0.325617,0.022902,0.009075,0.034922,211,32,1.736438,-1.301562,0.428750,-4.033313,-2.364250,0.894250,0.117374,0.106293,0.101875,0.138837,0.095600,0.092302,1.792583,-1.378891,0.471370,-4.111917,-2.433667,0.919771
42,cal-20260717T104800Z,2026-07-17T10:57:10.225170+00:00,40.714648,9.728174,-4.927489,41.040265,0.325617,0.034465,0.011059,0.022546,218,32,1.623125,-1.678250,0.560438,-4.207875,-1.074938,0.483875,0.136197,0.116089,0.097157,0.060654,0.109876,0.089533,1.679271,-1.755578,0.603057,-4.286479,-1.144354,0.509396
43,cal-20260717T104800Z,2026-07-17T10:57:17.264424+00:00,30.504886,9.633858,-4.905173,30.830503,0.325617,0.002167,0.004860,0.002840,218,32,1.442438,-2.097812,0.738063,-4.174188,0.419563,0.012250,0.114704,0.129005,0.131679,0.095953,0.103338,0.095600,1.498583,-2.175141,0.780682,-4.252792,0.350146,0.037771
44,cal-20260717T104800Z,2026-07-17T10:57:23.910370+00:00,19.766077,9.485534,-4.766318,20.091694,0.325617,0.003834,0.003678,0.006679,210,32,1.267875,-2.428562,0.946313,-3.947563,2.005937,-0.486938,0.149222,0.121269,0.118360,0.075642,0.096356,0.118032,1.324021,-2.505891,0.988932,-4.026167,1.936521,-0.461417
45,cal-20260717T104800Z,2026-07-17T10:57:30.449901+00:00,10.212185,9.377709,-4.663867,10.537802,0.325617,0.012604,0.004367,0.019572,217,32,1.081063,-2.691937,1.065750,-3.521875,3.289125,-0.906500,0.109876,0.140776,0.107786,0.099373,0.099373,0.096406,1.137208,-2.769266,1.108370,-3.600479,3.219708,-0.880979
46,cal-20260717T104800Z,2026-07-17T10:57:41.393687+00:00,0.272998,9.349855,-4.493456,0.598615,0.325617,0.000995,0.002628,0.002217,217,32,0.829937,-2.848125,1.139250,-3.013500,4.403875,-1.310750,0.119337,0.119216,0.123836,0.089749,0.108323,0.101875,0.886083,-2.925453,1.181870,-3.092104,4.334458,-1.285229
