pose_id,session_id,recorded_at_utc,yaw_deg,pitch_deg,roll_deg,yaw_raw_deg,yaw0_deg,yaw_stddev_deg,pitch_stddev_deg,roll_stddev_deg,imu_samples,magnetic_samples,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_stddev_mT,S1_By_stddev_mT,S1_Bz_stddev_mT,S2_Bx_stddev_mT,S2_By_stddev_mT,S2_Bz_stddev_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT
0,verification-01,2026-07-17T12:14:17.210074+00:00,55.249398,7.532309,7.672887,55.575015,0.325617,0.004001,0.003975,0.009228,217,32,0.970812,-1.549625,0.679875,-1.647625,-2.321375,1.130062,0.117704,0.127988,0.116588,0.076470,0.103945,0.099519,1.026958,-1.626953,0.722495,-1.726229,-2.390792,1.155583
1,verification-01,2026-07-17T12:14:23.759747+00:00,45.702604,7.372267,7.779295,46.028221,0.325617,0.005021,0.003671,0.007278,218,32,0.814625,-1.825250,0.790125,-1.972250,-1.598625,0.943250,0.120508,0.107786,0.133903,0.081614,0.130386,0.081614,0.870771,-1.902578,0.832745,-2.050854,-1.668042,0.968771
2,verification-01,2026-07-17T12:14:29.107445+00:00,35.279710,7.282615,7.888444,35.605327,0.325617,0.008527,0.005844,0.002590,218,32,0.584937,-2.042687,0.915687,-2.299937,-0.768687,0.664563,0.139671,0.129604,0.110228,0.124421,0.111624,0.092250,0.641083,-2.120016,0.958307,-2.378542,-0.838104,0.690083
3,verification-01,2026-07-17T12:14:36.830455+00:00,25.620342,7.232967,7.944690,25.945959,0.325617,0.006926,0.005231,0.003002,211,32,0.388937,-2.254000,0.967750,-2.416313,0.030625,0.385875,0.080599,0.142994,0.121309,0.084813,0.112532,0.102444,0.445083,-2.331328,1.010370,-2.494917,-0.038792,0.411396
4,verification-01,2026-07-17T12:14:43.181794+00:00,15.776044,7.148068,8.060316,16.101661,0.325617,0.003033,0.002257,0.002803,210,32,0.147000,-2.388750,1.010625,-2.499000,0.869750,0.064313,0.140811,0.144610,0.106884,0.099568,0.107786,0.081078,0.203146,-2.466078,1.053245,-2.577604,0.800333,0.089833
5,verification-01,2026-07-17T12:15:00.773351+00:00,5.432833,7.029938,8.212610,5.758450,0.325617,0.007858,0.006054,0.005662,210,32,-0.128625,-2.416313,1.029000,-2.407125,1.708875,-0.229687,0.097802,0.139948,0.116754,0.108323,0.099373,0.068665,-0.072479,-2.493641,1.071620,-2.485729,1.639458,-0.204167
6,verification-01,2026-07-17T12:15:15.648697+00:00,-5.017957,7.049311,7.657042,-4.692340,0.325617,0.012623,0.004236,0.006706,210,32,-0.355250,-2.514312,1.090250,-2.318313,2.523500,-0.566562,0.140259,0.107381,0.116089,0.101446,0.089749,0.092250,-0.299104,-2.591641,1.132870,-2.396917,2.454083,-0.541042
7,verification-01,2026-07-17T12:15:20.801844+00:00,-15.135225,7.049737,7.801327,-14.809608,0.325617,0.008648,0.003343,0.004949,217,32,-0.612500,-2.413250,1.016750,-2.051875,3.083938,-0.836063,0.116754,0.140259,0.110623,0.096205,0.096356,0.105562,-0.556354,-2.490578,1.059370,-2.130479,3.014521,-0.810542
8,verification-01,2026-07-17T12:15:32.628221+00:00,-25.711473,7.060908,7.799808,-25.385856,0.325617,0.001845,0.002338,0.004310,217,32,-0.842187,-2.211125,0.924875,-1.736438,3.567813,-1.025937,0.102207,0.105424,0.108323,0.090555,0.095953,0.074611,-0.786042,-2.288453,0.967495,-1.815042,3.498396,-1.000417
9,verification-01,2026-07-17T12:15:36.944443+00:00,-35.541692,7.079771,7.946315,-35.216075,0.325617,0.003543,0.002212,0.006570,211,32,-1.081063,-1.981437,0.796250,-1.457750,3.864875,-1.218875,0.130498,0.113346,0.113389,0.098787,0.113900,0.078469,-1.024917,-2.058766,0.838870,-1.536354,3.795458,-1.193354
10,verification-01,2026-07-17T12:15:42.145550+00:00,-44.959298,7.092602,8.083477,-44.633681,0.325617,0.085913,0.038383,0.063238,210,32,-1.261750,-1.702750,0.719688,-1.142313,4.085375,-1.307688,0.128743,0.128743,0.104456,0.107381,0.094582,0.098345,-1.205604,-1.780078,0.762307,-1.220917,4.015958,-1.282167
11,verification-01,2026-07-17T12:15:47.846406+00:00,-55.442552,7.114601,8.240338,-55.116935,0.325617,0.002292,0.007099,0.021393,218,32,-1.427125,-1.274000,0.551250,-0.799312,4.186438,-1.448562,0.124304,0.114070,0.107786,0.090126,0.100295,0.069227,-1.370979,-1.351328,0.593870,-0.877917,4.117021,-1.423042
