sample,elapsed_s,yaw_raw_deg,pitch_raw_deg,roll_raw_deg
0,0.020949,0.333484,0.900120,1.103589
1,0.020979,0.333865,0.899895,1.103241
2,0.055873,0.334318,0.899682,1.103102
3,0.055888,0.328192,0.907160,1.102862
4,0.055903,0.328442,0.907215,1.103047
5,0.055916,0.328684,0.906832,1.102506
6,0.055939,0.328129,0.907171,1.103076
7,0.055953,0.328448,0.907386,1.102270
8,0.055965,0.327484,0.907197,1.102435
9,0.090928,0.329350,0.907960,1.102455
10,0.090945,0.329843,0.907823,1.101621
11,0.090960,0.330014,0.907128,1.101343
12,0.090973,0.330060,0.908223,1.100894
13,0.090999,0.329534,0.907853,1.100278
14,0.091012,0.329135,0.908045,1.099749
15,0.091025,0.329235,0.909252,1.099310
16,0.124885,0.329264,0.908759,1.098607
17,0.124898,0.329399,0.908546,1.098874
18,0.124911,0.329316,0.908664,1.098003
19,0.124923,0.329623,0.908842,1.097533
20,0.124945,0.329382,0.909010,1.097043
21,0.124957,0.329795,0.908441,1.098112
22,0.124969,0.329361,0.908887,1.097647
23,0.159894,0.329328,0.908114,1.097247
24,0.159909,0.329151,0.907904,1.097640
25,0.159948,0.329740,0.907506,1.097741
26,0.159961,0.329967,0.907533,1.098156
27,0.161406,0.330951,0.908123,1.098236
28,0.161445,0.330949,0.908856,1.098966
29,0.161461,0.331431,0.908732,1.099214
30,0.190991,0.331410,0.909538,1.100079
31,0.191011,0.330948,0.909721,1.099272
32,0.191026,0.330580,0.909497,1.099061
33,0.191039,0.330584,0.909779,1.099244
34,0.191070,0.330689,0.909037,1.099543
35,0.191083,0.331258,0.908980,1.099879
36,0.191097,0.330672,0.909014,1.100170
37,0.225930,0.330747,0.909190,1.099497
38,0.225944,0.330870,0.908514,1.099343
39,0.225957,0.328466,0.908373,1.099297
40,0.225970,0.328390,0.907890,1.098362
41,0.225997,0.328667,0.907755,1.099010
42,0.226010,0.328442,0.907983,1.099781
43,0.226023,0.327749,0.908662,1.100466
44,0.259890,0.327772,0.908698,1.100305
45,0.259903,0.325517,0.909120,1.100597
46,0.259916,0.325674,0.908673,1.100833
47,0.259929,0.326452,0.908096,1.101112
48,0.259950,0.326876,0.908013,1.100781
49,0.259963,0.326673,0.908115,1.099723
50,0.260020,0.326748,0.908079,1.100570
51,0.295156,0.326191,0.908288,1.100433
52,0.295173,0.326168,0.907314,1.100782
53,0.295188,0.326460,0.907560,1.100286
54,0.295202,0.326585,0.907577,1.100493
55,0.295230,0.327534,0.907079,1.100250
56,0.295243,0.327057,0.907503,1.100718
57,0.295257,0.325354,0.907625,1.100646
58,0.329932,0.324926,0.907967,1.099968
59,0.329946,0.325498,0.907345,1.099188
60,0.329959,0.325381,0.907204,1.099762
61,0.329972,0.326117,0.907097,1.099988
62,0.329996,0.326303,0.907772,1.100076
63,0.330008,0.326507,0.908304,1.100664
64,0.330021,0.326612,0.908687,1.100521
65,0.360906,0.326292,0.908513,1.100590
66,0.360920,0.326583,0.908702,1.100848
67,0.360932,0.326631,0.909226,1.101043
68,0.360955,0.326988,0.909799,1.100401
69,0.360979,0.328215,0.910682,1.100774
70,0.360992,0.328631,0.910365,1.099913
