trial,sample,elapsed_s,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT
0,0,7.845314,0.098000,-4.704000,1.960000,-1.470000,2.156000,-0.882000,0.158229,-4.782094,2.003385,-1.551667,2.084031,-0.850099
0,1,7.878703,0.196000,-4.410000,1.764000,-1.372000,2.156000,-0.784000,0.256229,-4.488094,1.807385,-1.453667,2.084031,-0.752099
0,2,7.912195,0.098000,-4.606000,1.764000,-1.470000,2.254000,-0.980000,0.158229,-4.684094,1.807385,-1.551667,2.182031,-0.948099
0,3,7.945658,-0.098000,-4.802000,1.960000,-1.470000,2.156000,-0.882000,-0.037771,-4.880094,2.003385,-1.551667,2.084031,-0.850099
0,4,7.979132,0.196000,-4.802000,1.862000,-1.568000,2.156000,-0.588000,0.256229,-4.880094,1.905385,-1.649667,2.084031,-0.556099
0,5,8.012556,0.294000,-4.606000,1.666000,-1.470000,1.960000,-0.686000,0.354229,-4.684094,1.709385,-1.551667,1.888031,-0.654099
0,6,8.045953,0.196000,-4.606000,1.764000,-1.470000,2.156000,-0.686000,0.256229,-4.684094,1.807385,-1.551667,2.084031,-0.654099
0,7,8.079373,0.196000,-4.508000,1.862000,-1.470000,2.254000,-0.784000,0.256229,-4.586094,1.905385,-1.551667,2.182031,-0.752099
0,8,8.112793,0.098000,-4.508000,1.960000,-1.568000,2.156000,-0.686000,0.158229,-4.586094,2.003385,-1.649667,2.084031,-0.654099
0,9,8.146208,0.098000,-4.606000,1.960000,-1.568000,2.254000,-0.882000,0.158229,-4.684094,2.003385,-1.649667,2.182031,-0.850099
0,10,8.179629,0.196000,-4.606000,1.862000,-1.470000,2.254000,-0.784000,0.256229,-4.684094,1.905385,-1.551667,2.182031,-0.752099
0,11,8.213027,0.098000,-4.410000,1.666000,-1.568000,2.156000,-0.784000,0.158229,-4.488094,1.709385,-1.649667,2.084031,-0.752099
0,12,8.246430,0.098000,-4.704000,1.862000,-1.568000,2.058000,-0.882000,0.158229,-4.782094,1.905385,-1.649667,1.986031,-0.850099
