t_s,imu_yaw_deg,imu_pitch_deg,imu_roll_deg,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT
0.06959240099968156,0.0034214125212486124,0.3857586650549576,-1.473359985512617,0.294,-4.018,1.666,-1.764,2.352,-0.784
0.10776356399946962,0.003924906183442545,0.38559889460938523,-1.4745144340874168,0.392,-4.312,1.764,-1.764,2.352,-0.784
0.14829076299974986,0.00431430526603549,0.38520327125644244,-1.4745912309138496,0.294,-4.214,1.666,-1.764,2.45,-0.784
0.1941547400001582,0.003970563061756138,0.3843972734456728,-1.4739025976884759,0.392,-4.018,1.764,-1.568,2.352,-0.882
0.2516332720006176,0.004875767043870383,0.3847691080060068,-1.4727522302499507,0.588,-4.606,1.568,-1.764,2.352,-0.686
0.31161319100101537,0.006836596241242887,0.38459234108388723,-1.472226101106867,0.588,-4.116,1.764,-1.764,2.352,-0.686
0.34623587299938663,0.006924178989237362,0.3853205359025445,-1.4728109716254736,0.49,-4.018,1.666,-1.666,2.254,-0.882
0.3880494799996086,0.0073320373176954945,0.38596773616671415,-1.4700135724040775,0.392,-4.116,1.764,-1.666,2.352,-0.686
0.4362918639999407,0.007364469552470609,0.3836629403633234,-1.4720029000436858,0.588,-4.508,1.764,-1.764,2.352,-0.588
0.5080348200008302,0.009039093057282344,0.38788577552115644,-1.4691943637416105,0.588,-4.214,1.764,-1.764,2.45,-0.784
0.5615902400004416,0.007612988242527763,0.406375239153539,-1.467191063369978,0.49,-4.018,1.764,-1.764,2.352,-0.784
0.5979115890004323,0.006141279995290461,0.4079952050741688,-1.4673182023087323,0.392,-4.214,1.568,-1.568,2.548,-0.784
0.6317509370001062,0.006299623940492438,0.4081057945752432,-1.4678852066523365,0.392,-4.312,1.666,-1.764,2.254,-0.686
0.6684652109997842,0.007379093168850659,0.4090862853474375,-1.466941099849162,0.588,-4.312,1.666,-1.666,2.548,-0.784
0.7041703369995957,0.0099885613408901,0.4079719426665505,-1.4650242938762665,0.49,-4.116,1.764,-1.862,2.254,-0.882
0.7400649259998318,0.010985395964326017,0.4079148086332483,-1.4651724741389356,0.588,-4.116,1.862,-1.764,2.254,-0.784
0.7768603120002808,0.011470685340839282,0.40812670441454363,-1.4668849372941979,0.49,-4.312,1.666,-1.764,2.45,-1.078
0.8113839380002901,0.011746834778904258,0.40574864663566407,-1.46655369359892,0.294,-4.116,1.666,-1.764,2.352,-0.784
0.8460018790010508,0.011750432964930724,0.40507230000909117,-1.4657878768639758,0.196,-4.312,1.568,-1.666,2.548,-0.784
0.8806148200001189,0.011856096972081787,0.40387804719714643,-1.464536093784733,0.392,-4.41,1.666,-1.666,2.548,-0.784
0.9250095930001407,0.012197243586285822,0.40193488049206905,-1.462931359422018,0.49,-4.41,1.666,-1.666,2.254,-0.882
0.960334237999632,0.012805317077180689,0.39430589253110604,-1.461269720431647,0.392,-4.312,1.47,-1.666,2.45,-0.882
1.0058243809999112,0.013354100540709624,0.3945170924815264,-1.4599486345332686,0.588,-3.822,1.764,-1.862,2.254,-0.784
1.039912563001053,0.012137728616437471,0.3907659907900726,-1.4608778155413822,0.392,-4.41,1.666,-1.764,2.352,-0.882
1.075644521999493,0.013120884640954955,0.3900625083458489,-1.46041321334419,0.294,-4.214,1.764,-1.47,2.45,-0.882
1.1099515559999418,0.012556431544254565,0.3873579275302326,-1.4597944514170615,0.49,-4.116,1.666,-1.764,2.352,-0.784
1.170152586999393,0.013275119388538315,0.3889232269402413,-1.4588252680290934,0.294,-4.116,1.666,-1.764,2.45,-0.882
1.218189027000335,0.012440139212856138,0.38786501867860546,-1.460711223675265,0.49,-4.312,1.862,-1.764,2.352,-0.686
1.2541027450006368,0.012520319957701531,0.3881070705095734,-1.4596582035859411,0.49,-4.41,1.666,-1.666,2.45,-0.784
1.2984639820006123,0.014364806749995296,0.3854320006581331,-1.4578116229416551,0.49,-4.214,1.568,-1.666,2.352,-0.882
1.3410614219992567,0.01490040779924584,0.3825205918826376,-1.4603454390597281,0.686,-4.312,1.764,-1.764,2.352,-0.98
1.3895653239997046,0.014957455903925165,0.3820342541146426,-1.4614399347322606,0.392,-4.214,1.764,-1.862,2.45,-0.784
1.4325542090009549,0.016569226138614113,0.381534352846499,-1.4601467571327393,0.49,-4.214,1.764,-1.862,2.45,-0.882
