batch,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz
0,0,0.003484,-0.098000,0.000000,-0.196000,0.098000,0.196000,0.000000
0,1,0.036924,-0.098000,-0.098000,-0.098000,0.000000,0.098000,0.000000
0,2,0.070357,0.000000,0.000000,-0.098000,0.000000,0.196000,-0.196000
0,3,0.103773,0.000000,0.000000,-0.196000,0.098000,0.098000,-0.098000
0,4,0.137178,0.098000,0.000000,0.098000,0.098000,0.000000,0.000000
0,5,0.170573,-0.294000,0.000000,-0.196000,0.098000,0.294000,0.000000
0,6,0.203961,0.098000,0.098000,0.098000,0.098000,0.196000,0.000000
0,7,0.237354,-0.098000,-0.098000,-0.196000,0.000000,0.098000,-0.196000
0,8,0.270769,-0.098000,-0.098000,-0.196000,0.000000,0.196000,0.098000
0,9,0.304196,-0.098000,0.000000,0.000000,0.000000,0.098000,-0.196000
0,10,0.337611,0.000000,0.196000,-0.294000,0.098000,0.098000,0.098000
0,11,0.371002,0.000000,-0.098000,-0.196000,0.000000,0.098000,-0.196000
0,12,0.404430,-0.098000,0.000000,0.000000,0.196000,0.196000,0.000000
0,13,0.437833,-0.098000,0.098000,-0.392000,-0.098000,0.000000,0.000000
0,14,0.471228,0.000000,0.000000,-0.098000,0.196000,0.000000,-0.098000
0,15,0.504688,-0.196000,0.098000,-0.098000,0.196000,0.098000,0.000000
0,16,0.538089,0.000000,0.098000,0.196000,0.098000,0.098000,0.098000
0,17,0.571476,0.000000,-0.098000,0.196000,0.000000,0.000000,-0.098000
0,18,0.604875,0.000000,0.000000,0.000000,0.196000,0.098000,0.098000
0,19,0.638269,0.000000,0.000000,-0.098000,-0.098000,0.000000,-0.098000
0,20,0.671657,-0.098000,-0.098000,0.000000,0.196000,0.196000,0.000000
0,21,0.705084,-0.098000,0.000000,0.098000,0.000000,0.000000,0.000000
0,22,0.738484,0.000000,0.196000,-0.098000,0.098000,-0.098000,0.098000
0,23,0.771872,-0.196000,0.098000,0.000000,0.098000,0.196000,-0.196000
0,24,0.805268,0.000000,0.000000,0.000000,0.000000,0.000000,-0.098000
0,25,0.838664,0.000000,0.098000,0.098000,0.098000,0.294000,-0.098000
0,26,0.872056,0.098000,0.000000,0.000000,0.098000,0.098000,0.000000
0,27,0.905480,-0.196000,0.098000,-0.098000,0.098000,0.098000,0.000000
0,28,0.938874,0.000000,-0.098000,0.098000,0.098000,0.098000,-0.196000
0,29,0.972264,0.000000,0.294000,0.196000,0.196000,0.196000,0.000000
0,30,1.005656,0.000000,0.098000,-0.196000,0.294000,0.098000,-0.098000
0,31,1.039049,-0.196000,0.098000,-0.098000,0.098000,0.098000,0.000000
0,32,1.072442,-0.098000,0.000000,-0.196000,0.000000,0.098000,0.000000
0,33,1.105899,0.098000,0.098000,-0.098000,0.098000,0.196000,0.000000
0,34,1.139297,0.196000,0.098000,0.000000,0.098000,0.098000,-0.098000
0,35,1.172689,-0.098000,0.000000,0.000000,0.000000,0.196000,0.000000
0,36,1.206089,-0.098000,0.000000,0.196000,-0.098000,0.000000,-0.196000
0,37,1.239475,0.000000,0.000000,0.098000,0.000000,0.294000,-0.098000
0,38,1.272893,0.000000,0.196000,-0.196000,0.196000,0.000000,0.000000
0,39,1.306316,-0.098000,-0.098000,-0.098000,0.000000,0.000000,-0.098000
0,40,1.339722,-0.098000,0.000000,-0.196000,0.000000,0.196000,0.000000
0,41,1.373122,-0.098000,0.098000,-0.098000,0.196000,-0.098000,0.196000
0,42,1.406512,0.000000,0.098000,0.000000,0.000000,0.000000,0.000000
0,43,1.439967,-0.098000,0.098000,0.000000,0.000000,0.000000,0.000000
0,44,1.473369,-0.196000,0.000000,-0.098000,0.098000,0.000000,-0.196000
0,45,1.506792,-0.196000,0.098000,0.000000,0.000000,0.000000,0.000000
0,46,1.540190,-0.196000,0.098000,0.000000,0.098000,0.196000,0.000000
0,47,1.573584,-0.196000,0.098000,0.000000,0.196000,0.196000,-0.196000
0,48,1.606975,-0.294000,0.000000,-0.098000,0.000000,-0.098000,-0.098000
0,49,1.640406,-0.098000,0.098000,0.098000,0.000000,0.098000,-0.196000
0,50,1.673802,-0.098000,0.000000,-0.196000,0.098000,0.196000,0.000000
0,51,1.707259,0.000000,0.196000,-0.098000,0.098000,0.098000,0.000000
0,52,1.740660,-0.294000,0.000000,0.000000,0.000000,0.098000,-0.098000
0,53,1.774054,0.000000,0.000000,0.000000,0.098000,0.196000,0.000000
0,54,1.807444,0.098000,0.098000,-0.098000,0.196000,0.196000,0.000000
0,55,1.840841,-0.098000,0.196000,-0.196000,0.000000,0.000000,-0.098000
0,56,1.874236,0.000000,0.098000,0.196000,0.196000,0.098000,0.000000
0,57,1.907657,-0.098000,0.000000,0.000000,0.000000,0.196000,-0.098000
0,58,1.941059,-0.196000,0.000000,-0.098000,0.000000,0.196000,0.000000
0,59,1.974455,0.000000,0.098000,0.000000,0.098000,0.000000,-0.098000
0,60,2.007865,0.000000,0.098000,0.098000,0.392000,0.196000,0.000000
0,61,2.041258,0.000000,0.196000,0.098000,0.098000,0.000000,0.098000
0,62,2.074652,0.000000,0.000000,-0.294000,0.000000,0.098000,0.098000
0,63,2.108073,0.000000,0.196000,0.000000,0.000000,0.000000,0.000000
0,64,2.141474,-0.098000,-0.098000,0.098000,0.000000,0.196000,-0.098000
0,65,2.174864,0.000000,-0.098000,0.000000,0.196000,0.196000,0.000000
0,66,2.208260,-0.098000,0.196000,-0.098000,0.000000,0.098000,0.000000
0,67,2.241652,-0.098000,0.098000,0.098000,0.000000,0.000000,0.000000
0,68,2.275064,0.000000,0.098000,-0.098000,0.098000,0.000000,0.000000
0,69,2.308490,-0.196000,0.392000,0.000000,0.098000,0.098000,0.000000
0,70,2.341906,-0.196000,0.196000,-0.294000,0.000000,-0.098000,0.000000
0,71,2.375349,0.000000,0.098000,0.000000,0.000000,0.098000,-0.098000
0,72,2.408750,-0.098000,0.098000,-0.196000,-0.098000,0.000000,0.098000
0,73,2.442159,-0.098000,0.098000,0.000000,0.196000,0.196000,0.000000
0,74,2.475547,-0.196000,0.294000,0.098000,0.196000,0.294000,0.098000
0,75,2.508973,0.098000,0.000000,0.000000,-0.098000,0.098000,-0.196000
0,76,2.542373,0.000000,0.196000,-0.098000,0.098000,-0.294000,0.000000
0,77,2.575758,-0.196000,0.098000,-0.196000,0.098000,0.000000,-0.098000
0,78,2.609149,-0.098000,0.000000,-0.294000,0.098000,-0.196000,0.000000
0,79,2.642536,-0.098000,0.000000,-0.098000,0.196000,-0.098000,0.000000
0,80,2.675923,0.000000,0.196000,-0.098000,0.098000,0.196000,0.000000
0,81,2.709343,-0.098000,-0.098000,-0.098000,0.000000,0.098000,0.000000
