pose_index,pose,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz,S1_attempts,S1_frame_counter,S1_registers_hex,S2_attempts,S2_frame_counter,S2_registers_hex
0,home,0,5.085437,0.392000,-4.214000,1.862000,-1.862000,2.548000,-0.784000,1,0,00fd0110450356830800,1,0,fe01ff10da0859830400
0,home,1,5.118862,0.294000,-4.018000,1.666000,-1.764000,2.450000,-0.784000,1,1,00fd0114370155830800,1,1,fe01ff14e90859830400
0,home,2,5.152257,0.196000,-4.116000,1.568000,-1.568000,2.254000,-0.588000,1,2,00fd0118260054830800,1,2,ff01ff18070a5a830400
0,home,3,5.185650,0.196000,-4.116000,1.470000,-1.764000,2.450000,-0.686000,1,3,00fd001c260f55830800,1,3,fe01ff1ce9095a830400
0,home,4,5.219080,0.196000,-4.312000,1.764000,-1.666000,2.450000,-0.784000,1,0,00fd0110240255830800,1,0,fe01ff10f90859830400
0,home,5,5.252480,0.294000,-3.920000,1.764000,-1.470000,2.156000,-0.882000,1,1,00fd0114380255830800,1,1,ff01ff1416075b830400
0,home,6,5.285930,0.294000,-3.920000,1.666000,-1.666000,2.352000,-0.784000,1,2,00fd0118380156830800,1,2,fe01ff18f8085a830400
0,home,7,5.319359,0.196000,-4.018000,1.666000,-1.568000,2.352000,-0.784000,1,3,00fd011c270154830800,1,3,ff01ff1c08085a830400
0,home,8,5.352772,0.294000,-4.312000,1.666000,-1.666000,2.450000,-0.686000,1,0,00fd0110340154830800,1,0,fe01ff10f9095a830400
0,home,9,5.386164,0.196000,-4.214000,1.960000,-1.666000,2.156000,-0.980000,1,1,00fd0114250454830800,1,1,fe01ff14f6065a830400
0,home,10,5.419584,0.196000,-4.018000,1.666000,-1.470000,2.352000,-0.686000,1,2,00fd0118270154830800,1,2,ff01ff1818095a830400
0,home,11,5.452979,0.294000,-4.116000,1.764000,-1.764000,2.156000,-0.784000,1,3,00fd011c360254830800,1,3,fe01ff1ce6085b830400
0,home,12,5.486364,0.000000,-4.116000,1.470000,-1.666000,2.254000,-0.784000,1,0,00fd0010060f55830800,1,0,fe01ff10f70858830400
0,home,13,5.519785,0.196000,-4.116000,1.764000,-1.568000,2.450000,-0.686000,1,1,00fd0114260253830800,1,1,ff01ff1409095a830400
0,home,14,5.553178,0.294000,-4.312000,1.764000,-1.764000,2.254000,-0.980000,1,2,00fd0118340254830800,1,2,fe01ff18e7065a830400
0,home,15,5.586570,0.098000,-4.116000,1.470000,-1.666000,2.156000,-0.784000,1,3,00fd001c160f54830800,1,3,fe01ff1cf60859830400
0,home,16,5.619987,0.098000,-4.116000,1.568000,-1.764000,2.352000,-0.784000,1,0,00fd0110160056830800,1,0,fe01ff10e8085a830400
0,home,17,5.653378,0.294000,-4.214000,1.470000,-1.764000,2.352000,-0.686000,1,1,00fd0014350f54830800,1,1,fe01ff14e8095a830400
0,home,18,5.686787,0.000000,-4.214000,1.568000,-1.666000,2.254000,-0.882000,1,2,00fd0118050055830800,1,2,fe01ff18f7075b830400
0,home,19,5.720215,0.294000,-4.018000,1.666000,-1.764000,2.254000,-0.686000,1,3,00fd011c370156830800,1,3,fe01ff1ce7095a830400
0,home,20,5.753620,0.098000,-4.312000,1.764000,-1.568000,2.352000,-0.882000,1,0,00fd0110140253830800,1,0,ff01ff1008075a830400
0,home,21,5.787012,0.196000,-3.920000,1.764000,-1.764000,2.254000,-0.882000,1,1,00fd0114280255830800,1,1,fe01ff14e7075a830400
0,home,22,5.820430,0.196000,-4.018000,1.764000,-1.862000,2.352000,-0.882000,1,2,00fd0118270256830800,1,2,fe01ff18d80759830400
0,home,23,5.853968,0.294000,-3.920000,1.568000,-1.666000,2.254000,-0.686000,1,3,00fd011c380054830800,1,3,fe01ff1cf7095a830400
0,home,24,5.887483,0.196000,-4.116000,1.764000,-1.666000,2.450000,-0.588000,1,0,00fd0110260256830800,1,0,fe01ff10f90a5a830400
0,home,25,5.920920,0.196000,-3.920000,1.568000,-1.764000,2.156000,-0.784000,1,1,00fd0114280054830800,1,1,fe01ff14e60859830400
0,home,26,5.954308,0.294000,-4.116000,1.666000,-1.862000,2.254000,-0.882000,1,2,00fd0118360155830800,1,2,fe01ff18d7075a830400
0,home,27,5.987702,0.392000,-3.920000,1.568000,-1.764000,2.450000,-0.784000,1,3,00fd011c480054830800,1,3,fe01ff1ce9085a830400
0,home,28,6.021115,0.196000,-4.018000,1.666000,-1.568000,2.352000,-0.784000,1,0,00fd0110270156830800,1,0,ff01ff1008085b830400
0,home,29,6.054503,0.294000,-4.116000,1.764000,-1.666000,2.254000,-0.588000,1,1,00fd0114360254830800,1,1,fe01ff14f70a5a830400
0,home,30,6.087890,0.196000,-4.018000,1.764000,-1.764000,2.254000,-0.686000,1,2,00fd0118270254830800,1,2,fe01ff18e70959830400
0,home,31,6.121299,0.294000,-3.920000,1.764000,-1.764000,2.254000,-0.784000,1,3,00fd011c380254830800,1,3,fe01ff1ce70859830400
0,home,32,6.154688,0.196000,-3.822000,1.666000,-1.470000,2.450000,-0.686000,1,0,00fd0110290155830800,1,0,ff01ff1019095a830400
0,home,33,6.188085,0.294000,-4.018000,1.764000,-1.666000,2.352000,-0.686000,1,1,00fd0114370257830800,1,1,fe01ff14f8095a830400
0,home,34,6.221510,0.196000,-3.920000,1.764000,-1.862000,2.352000,-0.686000,1,2,00fd0118280255830800,1,2,fe01ff18d80959830400
0,home,35,6.254899,0.196000,-3.822000,1.666000,-1.764000,2.352000,-0.784000,1,3,00fd011c290156830800,1,3,fe01ff1ce8085a830400
0,home,36,6.288337,0.490000,-3.920000,1.862000,-1.568000,2.254000,-0.882000,1,0,00fd0110580355830800,1,0,ff01ff10070759830400
0,home,37,6.321751,0.196000,-3.920000,1.666000,-1.666000,2.254000,-0.882000,1,1,00fd0114280154830800,1,1,fe01ff14f7075a830400
