pose_id,yaw_truth,pitch_truth,roll_truth,B1x,B1y,B1z,B2x,B2y,B2z,temp_C
0,-0.004,1.489,-1.919,0.3981,-4.0793,1.7028,-1.6721,2.8971,-0.9616,
1,94.304,-2.492,3.277,2.2785,-0.2756,0.2266,-0.7105,-2.2050,0.9494,
2,-91.004,3.583,-2.348,-2.1131,-0.1164,0.1164,1.4945,3.2217,-1.0964,
3,-2.315,1.861,-10.221,1.2311,-4.4284,1.6476,-0.9188,4.1772,-1.5251,
4,-0.820,-1.962,10.877,-0.8024,-3.3443,1.3475,-1.3598,1.5557,-0.4043,
5,3.719,-9.713,-1.658,-0.3062,-7.1234,2.5725,-0.9065,1.7027,-0.6370,
6,6.756,10.231,6.008,0.1225,-2.6215,1.0719,-2.9032,1.7763,-0.2144,
7,5.199,-4.865,4.166,-0.4471,-4.5938,1.8069,-1.4271,1.5006,-0.4655,
8,5.530,-5.211,-7.722,1.4026,-6.4006,2.3214,-1.0045,2.3949,-0.9555,
9,3.188,6.088,-5.336,0.9494,-3.5341,1.3843,-2.2846,3.7056,-1.1821,
10,1.235,4.051,4.794,-0.0184,-3.1176,1.3169,-2.1009,2.1989,-0.5574,
11,-0.672,7.764,5.444,-0.0980,-2.6215,1.1025,-2.5051,2.3459,-0.4900,
12,-4.046,-0.735,8.029,-0.6921,-3.4055,1.3291,-1.5251,1.8253,-0.4778,
13,48.341,1.080,1.613,1.3414,-2.6276,1.0658,-2.0457,-0.9004,0.5022,
14,-42.239,2.129,1.513,-1.2434,-2.9706,1.2372,-0.5574,3.5709,-1.2311,
15,-52.734,1.633,8.290,-1.8926,-1.7701,0.6615,-0.4716,3.2340,-1.1331,
16,-54.604,9.167,-2.677,-1.1086,-2.0947,1.0167,0.0857,6.1189,-1.9845,
17,-53.466,-7.526,-5.647,-2.9155,-5.2797,2.0274,0.8024,3.1054,-1.1331,
18,38.640,10.311,3.252,0.7289,-2.0274,0.8330,-2.8114,-1.1699,0.7656,
19,26.550,10.140,3.625,0.7105,-2.0764,0.8881,-3.2401,-0.0796,0.4655,
